CustomerID,customer_clv,value_segment,premium_customer,premium_score,predicted_premium_customer,action_band
CUST017058,5236.72,Premium,1,0.9993080498275768,1,Retain & Grow
CUST019492,5540.83,Premium,1,0.9992575713280154,1,Retain & Grow
CUST002362,5236.1,Premium,1,0.9988191422397639,1,Retain & Grow
CUST018092,5162.49,Premium,1,0.9988104975660713,1,Retain & Grow
CUST010277,5269.18,Premium,1,0.9986960396740772,1,Retain & Grow
CUST004856,23318.45,Premium,1,0.9986369429463816,1,Retain & Grow
CUST016382,5038.68,Premium,1,0.9985675110298029,1,Retain & Grow
CUST019543,5206.7699999999995,Premium,1,0.9985644095102973,1,Retain & Grow
CUST007848,5138.679999999999,Premium,1,0.9984237174220657,1,Retain & Grow
CUST002037,5089.24,Premium,1,0.9983349700039866,1,Retain & Grow
CUST018297,5616.299999999999,Premium,1,0.9982853272731632,1,Retain & Grow
CUST013808,5411.000000000001,Premium,1,0.9982853272731632,1,Retain & Grow
CUST018257,5775.330000000001,Premium,1,0.9982853272731632,1,Retain & Grow
CUST017419,5770.809999999999,Premium,1,0.9982853272731632,1,Retain & Grow
CUST019449,6795.0999999999985,Premium,1,0.9982853272731632,1,Retain & Grow
CUST019081,5284.5599999999995,Premium,1,0.9982853272731632,1,Retain & Grow
CUST019236,5349.57,Premium,1,0.9982853272731632,1,Retain & Grow
CUST005828,6126.2300000000005,Premium,1,0.9982853272731632,1,Retain & Grow
CUST014689,5735.26,Premium,1,0.9982853272731632,1,Retain & Grow
CUST019563,5604.110000000001,Premium,1,0.9982853272731632,1,Retain & Grow
CUST020140,6899.200000000001,Premium,1,0.9982853272731632,1,Retain & Grow
CUST019403,5471.879999999999,Premium,1,0.9982853272731632,1,Retain & Grow
CUST017174,5873.12,Premium,1,0.9982853272731632,1,Retain & Grow
CUST018760,5892.57,Premium,1,0.9982853272731632,1,Retain & Grow
CUST018795,5636.8099999999995,Premium,1,0.9982853272731632,1,Retain & Grow
CUST018551,5993.63,Premium,1,0.9982853272731632,1,Retain & Grow
CUST018486,5753.5,Premium,1,0.9982853272731632,1,Retain & Grow
CUST018521,6934.33,Premium,1,0.9982853272731632,1,Retain & Grow
CUST020136,6471.84,Premium,1,0.9982853272731632,1,Retain & Grow
CUST001512,5190.49,Premium,1,0.9982752677879339,1,Retain & Grow
CUST016430,5026.99,Premium,1,0.9982645728229921,1,Retain & Grow
CUST015127,5226.33,Premium,1,0.9982623685888526,1,Retain & Grow
CUST008538,5111.02,Premium,1,0.9982594642744906,1,Retain & Grow
CUST005110,6072.91,Premium,1,0.9981874908266621,1,Retain & Grow
CUST009218,5635.4400000000005,Premium,1,0.9981874908266621,1,Retain & Grow
CUST014676,5612.470000000001,Premium,1,0.9981874908266621,1,Retain & Grow
CUST000955,6905.870000000001,Premium,1,0.9981874908266621,1,Retain & Grow
CUST000498,7184.8099999999995,Premium,1,0.9981874908266621,1,Retain & Grow
CUST008525,6562.99,Premium,1,0.9981874908266621,1,Retain & Grow
CUST008160,5569.0,Premium,1,0.9981874908266621,1,Retain & Grow
CUST010215,7595.149999999999,Premium,1,0.9981874908266621,1,Retain & Grow
CUST004791,5796.130000000001,Premium,1,0.9981874908266621,1,Retain & Grow
CUST014214,5433.949999999999,Premium,1,0.9981874908266621,1,Retain & Grow
CUST011786,6625.66,Premium,1,0.9981874908266621,1,Retain & Grow
CUST011006,5557.4,Premium,1,0.9981874908266621,1,Retain & Grow
CUST014394,5558.82,Premium,1,0.9981874908266621,1,Retain & Grow
CUST008375,5829.03,Premium,1,0.9981874908266621,1,Retain & Grow
CUST005604,7232.74,Premium,1,0.9981874908266621,1,Retain & Grow
CUST012895,6517.659999999999,Premium,1,0.9981591766801065,1,Retain & Grow
CUST016646,5981.8099999999995,Premium,1,0.9981591766801065,1,Retain & Grow
CUST012910,5922.97,Premium,1,0.9981591766801065,1,Retain & Grow
CUST016774,5973.51,Premium,1,0.9981591766801065,1,Retain & Grow
CUST015245,6685.92,Premium,1,0.9981591766801065,1,Retain & Grow
CUST013638,6433.5599999999995,Premium,1,0.9981591766801065,1,Retain & Grow
CUST017560,5998.09,Premium,1,0.9981591766801065,1,Retain & Grow
CUST015172,5939.98,Premium,1,0.9981591766801065,1,Retain & Grow
CUST014855,6374.2300000000005,Premium,1,0.9981591766801065,1,Retain & Grow
CUST000849,5930.09,Premium,1,0.9981591766801065,1,Retain & Grow
CUST015797,6508.23,Premium,1,0.9981591766801065,1,Retain & Grow
